Event Category,Gender,medal_type,country_name,country_code,athlete_full_name,Scored Unit,Scoring Type,game_season,game_year,game_location,game_name,Age,Year of Birth
Women's 3m Springboard,Woman,BRONZE,Canada,CA,Jennifer ABEL,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Men's 200m Individual Medley,Man,BRONZE,Switzerland,CH,Jeremy DESPLANCHES,01:57.1,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Individual Gundersen Normal Hill/10km,Not Stated,GOLD,Norway,NO,Joergen GRAABAK,25:09.4,TIME,Winter,2022,China,Beijing 2022,33,1991
Individual Gundersen Normal Hill/10km,Not Stated,SILVER,Norway,NO,Joergen GRAABAK,25:09.4,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's Pole Vault,Woman,GOLD,United States of America,US,Katie NAGEOTTE,4.55,DISTANCE,Summer,2020,Japan,Tokyo 2020,33,1991
Women's Canoe Single 200m,Woman,BRONZE,Canada,CA,Katie VINCENT,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Men's Street,Man,SILVER,Brazil,BR,Kelvin HOEFLER,36.15,POINTS,Summer,2020,Japan,Tokyo 2020,31,1993
Men's Decathlon,Man,SILVER,France,FR,Kevin MAYER,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
Men's Decathlon,Man,SILVER,France,FR,Kevin MAYER,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
Men's 500m,Man,SILVER,ROC,ROC,Konstantin IVLIEV,40272,TIME,Winter,2022,China,Beijing 2022,24,2000
Women's Discus Throw,Woman,SILVER,Germany,DE,Kristin PUDENZ,63.73,DISTANCE,Summer,2020,Japan,Tokyo 2020,31,1993
Women's 100m Backstroke,Woman,SILVER,Canada,CA,Kylie MASSE,57072,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Women's 100m Backstroke,Woman,SILVER,Canada,CA,Kylie MASSE,57072,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Women's 100m Backstroke,Woman,BRONZE,Canada,CA,Kylie MASSE,57072,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Women's 200m Backstroke,Woman,SILVER,Canada,CA,Kylie MASSE,02:08.2,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Women's 200m Backstroke,Woman,SILVER,Canada,CA,Kylie MASSE,02:08.2,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Women's 200m Backstroke,Woman,BRONZE,Canada,CA,Kylie MASSE,02:08.2,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Men's Super-G,Man,BRONZE,Austria,AT,Matthias MAYER,01:20.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Men's Super-G,Man,GOLD,Austria,AT,Matthias MAYER,01:20.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Men's Super-G,Man,GOLD,Austria,AT,Matthias MAYER,01:20.0,TIME,Winter,2022,China,Beijing 2022,34,1990
